,Job,Credit amount,Duration,Housing_free,Housing_own,Housing_rent,Saving accounts_little,Saving accounts_moderate,Saving accounts_quite rich,Saving accounts_rich,Checking account_little,Checking account_moderate,Checking account_rich,Purpose_business,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Risk_good,Age_cat
53,2,8.125039097367745,18,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
54,2,7.707512194600341,36,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2
55,1,6.663132695990803,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
56,3,8.774622220696997,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
57,2,9.165970424240243,36,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
58,3,7.581209826196346,18,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
59,1,8.736971085254146,36,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
60,2,7.237778191923443,9,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
61,2,7.337587743538596,15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2
62,3,7.577121930876679,36,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3
63,2,9.57644075656207,48,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
64,2,8.064950891749143,24,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
65,2,8.554488976159934,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
66,2,7.682943169878292,12,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
67,2,6.914730892718563,12,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
68,2,7.506042178518122,36,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
69,2,7.780720886117918,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
70,2,9.003685138166775,36,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
71,1,6.593044534142437,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
72,3,7.059617628291383,8,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2
73,1,8.691818541575723,42,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2
74,3,7.589335823170617,36,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
75,3,7.330405211844402,12,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3
76,2,8.285261134068948,42,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
77,2,8.470311205516108,11,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2
78,1,9.152287440527566,54,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
79,2,8.251142139090751,30,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
80,2,8.68996933536666,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
81,2,7.10085190894405,15,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2
82,1,7.357556200910353,18,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
83,1,7.470224135899966,24,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2
84,1,7.747164966520335,10,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2
85,3,7.252762418053187,12,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
86,2,7.166265974133638,18,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
87,2,9.442404020664952,36,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2
88,3,7.718240951959316,18,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
89,2,7.010311867307229,12,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
90,2,6.42648845745769,12,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
91,2,7.25063551189868,12,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2
92,1,6.680854678790215,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
93,2,8.193400231952097,24,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
94,2,7.183870715062453,12,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,2
95,2,9.676900579444158,54,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
96,2,7.60688453121963,12,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3
97,2,7.871692664323645,18,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
98,2,7.756623334538858,36,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2
99,3,8.86177531100083,20,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2
100,1,7.292337176173877,24,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
101,2,7.750614732770409,36,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
102,2,6.837332814685591,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
103,2,7.5595594960077,9,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
104,2,7.801800401908973,12,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
105,3,9.387481868728596,24,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2
106,3,8.77307495131822,18,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
107,2,8.712430973476739,12,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
108,2,8.951699168308815,24,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
109,2,7.251344983372214,14,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1
110,2,7.278628942320682,6,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
111,2,5.971261839790462,15,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
112,1,8.741935464094144,18,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
113,2,8.96890555068972,36,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
114,2,7.426549072397305,12,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1
115,2,8.182559264068665,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
116,3,8.878218658092228,42,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
117,2,7.664815785285735,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
118,2,8.361941906144946,33,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
119,3,7.768956044538332,12,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,2
120,2,7.51479976048867,21,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
121,3,8.260492856573185,24,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
122,1,7.477604243197589,12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
123,2,6.660575149839686,10,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,3
124,2,7.562161631225652,18,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
125,2,7.659642954564682,12,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
126,1,6.55250788703459,12,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2
127,2,6.459904454377535,12,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
128,3,7.528331766707247,12,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
129,2,8.160232492367689,12,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
130,2,9.046290859969677,48,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
131,2,8.837390855544697,36,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
132,1,7.903965634032166,15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
133,2,7.592870287844818,18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
134,2,9.224637676677007,60,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
135,2,7.122866658599083,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
136,2,9.061027968789174,27,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
137,1,6.641182169740591,12,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,3
138,2,7.911324018963353,15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
139,1,7.53955882930103,12,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2
140,0,6.5638555265321274,6,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1
141,3,8.475328987317539,36,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
142,3,8.13622555490846,27,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
143,2,7.808729306744399,18,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
144,2,7.7354333524996886,21,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
145,2,8.179199798423086,48,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
146,2,6.756932389247553,6,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2
147,2,6.525029657843462,12,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
148,2,8.58876938990546,36,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
149,2,7.366445148327599,18,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2
150,2,7.204892510204673,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
151,2,7.562161631225652,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
152,2,8.673855001429615,36,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
153,2,8.956479847999912,24,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1
154,3,8.848939995030118,24,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2
155,2,7.156176637480615,12,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
156,2,7.160845906664299,9,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2
157,1,5.82600010738045,12,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2
158,2,8.163940954755008,24,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2
159,1,7.5485559791698735,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
160,2,7.962763930168115,24,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
161,2,6.961296045910167,18,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
162,2,7.140453043101158,15,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2
163,3,8.896724917497897,10,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3
164,2,6.812345094177479,36,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2
165,2,7.999007213243955,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
166,2,7.030857476116121,18,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
167,2,7.3632795869630385,11,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
168,2,8.287025025165063,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
169,2,7.5678626054638825,24,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
170,2,6.856461984594587,15,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
171,2,6.637258031284457,12,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
172,3,7.6324011266014535,24,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
173,2,7.254177846456518,8,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
174,2,8.135639903354386,21,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
175,3,8.920656296853728,30,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
176,2,7.854381210652365,12,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2
177,2,5.823045895483019,6,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,2
178,3,7.5822291942764615,12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
179,2,6.3473892096560105,21,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3
180,2,9.166597449028265,36,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
181,3,8.40178233990491,36,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
182,1,7.4067107301776405,21,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
183,2,8.236685322712457,24,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2
184,2,6.784457062637643,18,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2
185,2,7.215239978730097,15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
186,3,8.542665987389269,9,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3
187,0,7.069023426578259,16,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3
188,2,6.513230110912307,12,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
189,2,8.084562415235304,18,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
190,3,8.431853144249223,24,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
191,1,8.254268770090183,48,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
192,2,8.272570608424903,27,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
193,2,7.653494909661253,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
194,2,8.016647877057803,45,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
195,3,7.313886831633462,9,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
196,2,7.231287004327616,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
197,2,6.85751406254539,12,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
198,2,7.9229859587111955,24,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2
199,3,8.365672383774996,18,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
200,2,6.841615476477592,9,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2
201,1,7.0630481633881725,12,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
202,2,8.540323608805092,27,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
203,2,6.804614520062624,12,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
204,1,7.3098814858247865,12,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
205,3,9.270776740780013,30,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2
206,2,7.5678626054638825,12,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
207,2,7.261225091971921,12,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
208,1,8.789964651132264,24,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
209,2,7.253470382684528,12,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2
210,2,8.03073492409854,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
211,1,8.251924713801357,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
212,2,8.574140471857987,27,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2
213,3,7.553810852008231,30,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3
214,2,8.114324709155339,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
215,1,6.837332814685591,6,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2
216,2,8.04044688130311,18,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
217,2,8.272059622210412,36,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
218,1,8.013343181386672,24,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
219,2,7.218176838403408,10,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
220,1,6.437751649736401,12,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
221,2,7.090076835776092,12,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
222,2,6.561030665896573,12,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
223,2,7.999007213243955,24,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
224,2,8.446126742982377,15,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
225,2,7.868254265520613,36,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
226,2,9.302098797215724,48,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
227,3,8.970177815492379,12,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
228,2,7.298445101508147,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
229,2,8.054840221101024,24,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
230,2,8.345217926676428,36,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
231,1,7.826842098158293,9,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2
232,2,7.669028288589683,12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
233,1,6.763884908562435,18,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
234,1,7.342131730584722,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
235,3,7.508238774678663,24,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
236,0,9.585689856179723,6,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
237,1,7.925518979786926,21,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3
238,2,7.1631723908466425,12,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
239,2,7.8328075165248645,30,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2
240,2,6.818924065275521,24,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
241,2,7.374629015218945,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
242,2,8.434897948689407,48,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
243,2,7.077498053569231,12,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
244,1,8.145259566516865,12,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
245,2,7.1372784372603855,24,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
246,2,6.57507584059962,12,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
247,2,7.093404625868766,6,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
248,2,7.562681246721884,24,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
249,2,6.07073772800249,18,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
250,1,6.501289670540389,6,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,2
